Sample Name	Target Name	Quantity
glucose 1 input	PRM1	0.0981816
glucose 1 input	GAL1pr	0.1511610
glucose 2 input	PRM1	0.1074413
glucose 2 input	GAL1pr	0.1599839
glucose 3 input	PRM1	0.0879916
glucose 3 input	GAL1pr	0.1248156
galactose 1 input	PRM1	0.1006907
galactose 1 input	GAL1pr	0.1348336
galactose 2 input	PRM1	0.0919730
galactose 2 input	GAL1pr	0.1075472
galactose 3 input	PRM1	0.0967744
galactose 3 input	GAL1pr	0.1250855
glucose 1 input	TDA1pr_up	0.1035747
glucose 1 input	TDA1pr_dn	0.0953013
glucose 2 input	TDA1pr_up	0.1130624
glucose 2 input	TDA1pr_dn	0.0963158
glucose 3 input	TDA1pr_up	0.0926548
glucose 3 input	TDA1pr_dn	0.0832884
galactose 1 input	TDA1pr_up	0.1085408
galactose 1 input	TDA1pr_dn	0.0911492
galactose 2 input	TDA1pr_up	0.1028863
galactose 2 input	TDA1pr_dn	0.0744942
galactose 3 input	TDA1pr_up	0.1051192
galactose 3 input	TDA1pr_dn	0.0878401
glucose 1 input	PRM1	0.1068899
glucose 1 input	GAL1pr	0.1442258
glucose 2 input	PRM1	0.0917082
glucose 2 input	GAL1pr	0.1315198
glucose 3 input	PRM1	0.0781097
glucose 3 input	GAL1pr	0.1147821
galactose 1 input	PRM1	0.0989362
galactose 1 input	GAL1pr	0.1233706
galactose 2 input	PRM1	0.0897429
galactose 2 input	GAL1pr	0.0996301
galactose 3 input	PRM1	0.0947322
galactose 3 input	GAL1pr	0.1067221
glucose 1 input	TDA1pr_up	0.1027159
glucose 1 input	TDA1pr_dn	0.0887118
glucose 2 input	TDA1pr_up	0.1031504
glucose 2 input	TDA1pr_dn	0.0913273
glucose 3 input	TDA1pr_up	0.0889949
glucose 3 input	TDA1pr_dn	0.0766757
galactose 1 input	TDA1pr_up	0.1062108
galactose 1 input	TDA1pr_dn	0.0878794
galactose 2 input	TDA1pr_up	0.0803121
galactose 2 input	TDA1pr_dn	0.0659270
galactose 3 input	TDA1pr_up	0.0972260
galactose 3 input	TDA1pr_dn	0.0875907
glucose 1 input	PRM1	0.0953523
glucose 1 input	GAL1pr	0.1453460
glucose 2 input	PRM1	0.0868063
glucose 2 input	GAL1pr	0.1249405
glucose 3 input	PRM1	0.0722826
glucose 3 input	GAL1pr	0.0997507
galactose 1 input	PRM1	0.0865730
galactose 1 input	GAL1pr	0.1063374
galactose 2 input	PRM1	0.0889400
galactose 2 input	GAL1pr	0.0830573
galactose 3 input	PRM1	0.0856255
galactose 3 input	GAL1pr	0.0994372
glucose 1 input	TDA1pr_up	0.0930459
glucose 1 input	TDA1pr_dn	0.0857739
glucose 2 input	TDA1pr_up	0.0984130
glucose 2 input	TDA1pr_dn	0.0814188
glucose 3 input	TDA1pr_up	0.0788134
glucose 3 input	TDA1pr_dn	0.0707463
galactose 1 input	TDA1pr_up	0.0934498
galactose 1 input	TDA1pr_dn	0.0813047
galactose 2 input	TDA1pr_up	0.0793942
galactose 2 input	TDA1pr_dn	0.0624492
galactose 3 input	TDA1pr_up	0.0915229
galactose 3 input	TDA1pr_dn	0.0775360
glucose 1 Ab	PRM1	0.0077736
glucose 1 Ab	GAL1pr	0.0137205
glucose 2 Ab	PRM1	0.0064681
glucose 2 Ab	GAL1pr	0.0100535
glucose 3 Ab	PRM1	0.0052720
glucose 3 Ab	GAL1pr	0.0088455
galactose 1 Ab	PRM1	0.0080891
galactose 1 Ab	GAL1pr	0.0544881
galactose 2 Ab	PRM1	0.0066854
galactose 2 Ab	GAL1pr	0.0366488
galactose 3 Ab	PRM1	0.0077240
galactose 3 Ab	GAL1pr	0.0471063
glucose 1 Ab	TDA1pr_up	0.0095892
glucose 1 Ab	TDA1pr_dn	0.0073669
glucose 2 Ab	TDA1pr_up	0.0071829
glucose 2 Ab	TDA1pr_dn	0.0054480
glucose 3 Ab	TDA1pr_up	0.0058783
glucose 3 Ab	TDA1pr_dn	0.0043243
galactose 1 Ab	TDA1pr_up	0.0097307
galactose 1 Ab	TDA1pr_dn	0.0075867
galactose 2 Ab	TDA1pr_up	0.0065540
galactose 2 Ab	TDA1pr_dn	0.0048389
galactose 3 Ab	TDA1pr_up	0.0075469
galactose 3 Ab	TDA1pr_dn	0.0063925
glucose 1 Ab	PRM1	0.0073430
glucose 1 Ab	GAL1pr	0.0128907
glucose 2 Ab	PRM1	0.0060925
glucose 2 Ab	GAL1pr	0.0091196
glucose 3 Ab	PRM1	0.0051163
glucose 3 Ab	GAL1pr	0.0092606
galactose 1 Ab	PRM1	0.0072915
galactose 1 Ab	GAL1pr	0.0528026
galactose 2 Ab	PRM1	0.0075184
galactose 2 Ab	GAL1pr	0.0381396
galactose 3 Ab	PRM1	0.0084537
galactose 3 Ab	GAL1pr	0.0490703
glucose 1 Ab	TDA1pr_up	0.0096821
glucose 1 Ab	TDA1pr_dn	0.0079615
glucose 2 Ab	TDA1pr_up	0.0076256
glucose 2 Ab	TDA1pr_dn	0.0053530
glucose 3 Ab	TDA1pr_up	0.0052934
glucose 3 Ab	TDA1pr_dn	0.0048769
galactose 1 Ab	TDA1pr_up	0.0094777
galactose 1 Ab	TDA1pr_dn	0.0072196
galactose 2 Ab	TDA1pr_up	0.0058897
galactose 2 Ab	TDA1pr_dn	0.0050117
galactose 3 Ab	TDA1pr_up	0.0088561
galactose 3 Ab	TDA1pr_dn	0.0073169
glucose 1 Ab	PRM1	0.0075004
glucose 1 Ab	GAL1pr	0.0129042
glucose 2 Ab	PRM1	0.0064383
glucose 2 Ab	GAL1pr	0.0084660
glucose 3 Ab	PRM1	0.0053678
glucose 3 Ab	GAL1pr	0.0093411
galactose 1 Ab	PRM1	0.0085432
galactose 1 Ab	GAL1pr	0.0539825
galactose 2 Ab	PRM1	0.0070262
galactose 2 Ab	GAL1pr	0.0349930
galactose 3 Ab	PRM1	0.0070427
galactose 3 Ab	GAL1pr	0.0484190
glucose 1 Ab	TDA1pr_up	0.0123500
glucose 1 Ab	TDA1pr_dn	0.0077637
glucose 2 Ab	TDA1pr_up	0.0074533
glucose 2 Ab	TDA1pr_dn	0.0051580
glucose 3 Ab	TDA1pr_up	0.0058306
glucose 3 Ab	TDA1pr_dn	0.0051538
galactose 1 Ab	TDA1pr_up	0.0092882
galactose 1 Ab	TDA1pr_dn	0.0073012
galactose 2 Ab	TDA1pr_up	0.0060692
galactose 2 Ab	TDA1pr_dn	0.0047305
galactose 3 Ab	TDA1pr_up	0.0082515
galactose 3 Ab	TDA1pr_dn	0.0071915
glucose 1 BSA	PRM1	0.0019365
glucose 1 BSA	GAL1pr	0.0004289
glucose 2 BSA	PRM1	0.0016461
glucose 2 BSA	GAL1pr	0.0001466
glucose 3 BSA	PRM1	0.0021069
glucose 3 BSA	GAL1pr	0.0003434
galactose 1 BSA	PRM1	0.0020213
galactose 1 BSA	GAL1pr	0.0001341
galactose 2 BSA	PRM1	0.0023795
galactose 2 BSA	GAL1pr	0.0001880
galactose 3 BSA	PRM1	0.0019159
galactose 3 BSA	GAL1pr	0.0000839
glucose 1 BSA	TDA1pr_up	0.0003383
glucose 1 BSA	TDA1pr_dn	0.0004603
glucose 2 BSA	TDA1pr_up	0.0001987
glucose 2 BSA	TDA1pr_dn	0.0002059
glucose 3 BSA	TDA1pr_up	0.0002930
glucose 3 BSA	TDA1pr_dn	0.0002757
galactose 1 BSA	TDA1pr_up	0.0002249
galactose 1 BSA	TDA1pr_dn	0.0002248
galactose 2 BSA	TDA1pr_up	0.0002103
galactose 2 BSA	TDA1pr_dn	0.0002811
galactose 3 BSA	TDA1pr_up	0.0001742
galactose 3 BSA	TDA1pr_dn	0.0002791
glucose 1 BSA	PRM1	0.0022575
glucose 1 BSA	GAL1pr	0.0003008
glucose 2 BSA	PRM1	0.0017723
glucose 2 BSA	GAL1pr	0.0001771
glucose 3 BSA	PRM1	0.0018412
glucose 3 BSA	GAL1pr	0.0004899
galactose 1 BSA	PRM1	0.0017597
galactose 1 BSA	GAL1pr	0.0001525
galactose 2 BSA	PRM1	0.0021191
galactose 2 BSA	GAL1pr	0.0002662
galactose 3 BSA	PRM1	0.0017073
galactose 3 BSA	GAL1pr	0.0001429
glucose 1 BSA	TDA1pr_up	0.0003598
glucose 1 BSA	TDA1pr_dn	0.0002985
glucose 2 BSA	TDA1pr_up	0.0001684
glucose 2 BSA	TDA1pr_dn	0.0002062
glucose 3 BSA	TDA1pr_up	0.0002811
glucose 3 BSA	TDA1pr_dn	0.0003832
galactose 1 BSA	TDA1pr_up	0.0003657
galactose 1 BSA	TDA1pr_dn	0.0002782
galactose 2 BSA	TDA1pr_up	0.0003411
galactose 2 BSA	TDA1pr_dn	0.0002751
galactose 3 BSA	TDA1pr_up	0.0001948
galactose 3 BSA	TDA1pr_dn	0.0002319
glucose 1 BSA	PRM1	0.0020529
glucose 1 BSA	GAL1pr	0.0004089
glucose 2 BSA	PRM1	0.0015687
glucose 2 BSA	GAL1pr	0.0001335
glucose 3 BSA	PRM1	0.0017096
glucose 3 BSA	GAL1pr	0.0004883
galactose 1 BSA	PRM1	0.0014716
galactose 1 BSA	GAL1pr	0.0002004
galactose 2 BSA	PRM1	0.0020957
galactose 2 BSA	GAL1pr	0.0000630
galactose 3 BSA	PRM1	0.0016513
galactose 3 BSA	GAL1pr	0.0000941
glucose 1 BSA	TDA1pr_up	0.0003119
glucose 1 BSA	TDA1pr_dn	0.0003926
glucose 2 BSA	TDA1pr_up	0.0001741
glucose 2 BSA	TDA1pr_dn	0.0001680
glucose 3 BSA	TDA1pr_up	0.0003929
glucose 3 BSA	TDA1pr_dn	0.0003672
galactose 1 BSA	TDA1pr_up	0.0002615
galactose 1 BSA	TDA1pr_dn	0.0002564
galactose 2 BSA	TDA1pr_up	0.0002899
galactose 2 BSA	TDA1pr_dn	0.0002742
galactose 3 BSA	TDA1pr_up	0.0001854
galactose 3 BSA	TDA1pr_dn	0.0002914
